2020 SUPER BASEBALL,
3 Ninjas Kick Back,
A Dinosaur's Story,
A Super Mario Thing,
A.S.P. Air Strike Patrol,
Aaahh!!! Real Monsters,
ABC Monday Night Football,
ACME Animation Factory,
ActRaiser (1990),
ActRaiser 2,
Addams Family,
Addams Family Values,
Adventures of Yogi Bear,
Aero Fighters,
Aero the Acro-Bat,
Aero the Acro-Bat 2,
Aerobiz,
Aerobiz Supersonic,
Aguri Suzuki F-1 Super Driving,
Air Cavalry,
Al Unser Jr.'s Road to the Top,
Albert Odyssey,
Alfred Chicken,
Alien vs Predator (SNES),
ALIEN³,
American Gladiators,
An American Tail: Fievel Goes West,
Andre Agassi Tennis,
Animaniacs,
Another World,
Arabian Nights - Sabaku no Seirei Ou,
Araiguma Rascal: Racoon Rascal,
Arcade's Greatest Hits: The Atari Collection 1,
Arcana,
Arcus Odyssey,
Ardy Lightfoot,
Arkanoid: Doh It Again,
Art of Fighting (1992),
Asterix & Obelix,
Asterix (1993),
Axelay (1992),
B.O.B.,
Bahamut Lagoon,
Ball Bullet Gun: Survival Game Simulation,
Ballz,
Banshee's Last Cry,
Barbie: Super Model,
Barkley Shut Up and Jam!,
Bass Masters Classic: Pro Edition,
Bassin's Black Bass with Hank Parker,
Bastard!!,
Batman Forever,
Batman Returns (Nintendo),
Battle Blaze,
Battle Cars,
Battle Clash,
Battle Cross,
Battle Grand Prix,
Battle Jockey,
Battle Racers,
Battle Soccer,
BattleTech: A Game of Armored Combat,
Battletoads & Double Dragon,
Battletoads in Battlemaniacs,
Bebe's Kids,
Best of the Best: Championship Karate,
Big Sky Trooper,
Biker Mice from Mars (SNES),
Bill Laimbeer's Combat Basketball,
Bill Walsh College Football,
BioMetal,
Bishoujo Senshi Sailor Moon (1993),
Bishoujo Senshi Sailor Moon R,
Bishoujo Senshi Sailor Moon: Another Story,
Blackthorne,
BlaZeon,
Bobby's World,
Bomberman B-Danman,
Bomberman Panic Bomber,
Bombuzal (1988),
Boogerman: A Pick and Flick Adventure,
Boxing Legends of the Ring,
Brain Lord,
BRAM STOKER'S DRACULA,
Brandish,
Brandish 2: The Planet Buster,
Brawl Brothers (1992),
BreakThru!,
Breath of Fire (1993),
Breath of Fire II (1994),
Brett Hull Hockey,
Brett Hull Hockey '95,
Bronkie the Bronchiasaurus,
Brunswick World: Tournament of Champions,
Brutal: Paws of Fury,
BS The Legend of Zelda,
BS The Legend of Zelda - Ancient Stone Tablets,
Bubsy,
Bubsy 2,
Bubsy in Claws Encounters of the Furred Kind,
Bugs Bunny Rabbit Rampage,
Bulls vs. Blazers and the NBA Playoffs,
Bushi Seiryuuden: Futari no Yuusha,
Bust-A-Move,
Cacoma Knight in Bizyland,
Cal Ripken Jr. Baseball,
California Games II,
Cameltry (1989),
Cannon Fodder,
Capcom's MVP Football,
Captain America and The Avengers,
Captain Commando,
Captain Novolin,
Carrier Aces,
Casper,
Castlevania: Dracula X,
Castlevania: Rondo of Blood,
Champions World Class Soccer,
Championship Pool,
Chaos Seed,
Chester Cheetah: Too Cool to Fool,
Chester Cheetah: Wild Wild Quest,
Cho Aniki: Bakuretsu Ranto Hen,
Choplifter III,
Chrono Trigger,
Chrono Trigger: Crimson Echoes,
Chrono Trigger: Prophet's Guile,
Chuck Rock,
Civilization,
ClayFighter,
ClayFighter 2: Judgment Clay,
Claymates,
Cliffhanger,
Clock Tower (1995),
Clue,
College Slam,
Columns (1990),
Congo's Caper,
Contra III: The Alien Wars,
Cool Spot,
Cool World (1993),
Cotton 100%,
Crayon Shin-chan 2: Dai Maou no Gyakushu,
Crystal Beans From Dungeon Explorer,
Cutthroat Island,
Cyber Knight (1990),
Cyber Spin,
Cybernator (1992),
Daffy Duck: The Marvin Missions,
Darius Force,
Darius Twin (1991),
Dark Half,
Dark Law: Meaning of Death,
David Crane's Amazing Tennis,
Daze Before Christmas,
Demolition Man,
Demon's Crest (1994),
Dennis the Menace,
Der Langrisser,
Desert Strike,
D-Force (1991),
Dig & Spike Volleyball,
Digital Devil Story: Megami Tensei II,
DinoCity,
Dirt Racer,
Dirt Trax FX,
Disney’s Aladdin (1993),
Disney's Beauty and the Beast,
Disney's Bonkers: Hollywood Big Operations!,
Disney's Magical Quest,
Disney's Magical Quest 3 Starring Mickey & Donald,
Disney's The Jungle Book,
Disney's The Lion King,
Donald Duck no Mahou no Boushi,
Donald in Maui Mallard,
Donkey Kong Country,
Donkey Kong Country 2: Diddy's Kong Quest,
Donkey Kong Country 3: Dixie Kong's Double Trouble,
DOOM,
Doom Trooper,
Doom Troopers: Mutant Chronicles,
Doomsday Warrior,
Doraemon 2 - Nobita no Toys Land Daibouken,
Doraemon 3: Nobita to Toki no Hougyoku,
Doraemon 4: Nobita in the Moon Kingdom,
Doraemon: Nobita no Yousei no Kuni,
Do-Re-Mi Fantasy: Milon's Quest,
Double Dragon V: The Shadow Falls,
Doukyuusei 2 (SNES),
Dr. Mario,
Dragon Ball Z Chou Saiya Densetsu,
Dragon Ball Z: Hyper Dimension,
Dragon Ball Z: Super Saiya Densetsu,
Dragon Knight 4,
Dragon Quest 6: Realms of Revelation,
DRAGON QUEST V,
Dragon Slayer: The Legend of Heroes,
Dragon Slayer: The Legend of Heroes II,
Dragon View,
Dragon: The Bruce Lee Story,
Dragon's Earth,
Drakkhen,
Dream TV,
Dropzone (1984),
Dual Orb,
Dual Orb 2,
Dungeon Master,
DynamiTracer,
E.V.O.: Search for Eden,
Earth Defense Force,
EarthBound,
Earthworm Jim,
Earthworm Jim 2,
Emerald Dragon,
Emmitt Smith Football,
Energy Breaker,
Equinox,
ESPN Baseball Tonight,
ESPN National Hockey Night,
ESPN Speed World,
ESPN Sunday Night NFL,
Exile: Wicked Phenomenon,
Extra Innings,
Eye of the Beholder,
F1 Pole Position,
F1 Pole Position 2,
F1 ROC: Race of Champions,
Faery Tale Adventure,
Famicom Detective Club Part II: The Girl who Stands Behind,
Far East of Eden Zero,
Farland Story,
Farland Story 2,
Fatal Fury 2 (1992),
Fatal Fury Special,
Fatal Fury: King of Fighters,
Feda: The Emblem of Justice,
Fever Pitch Soccer,
FIFA (1993),
FIFA 97,
FIFA International Soccer,
FIFA Soccer 96,
FIFA: Road to World Cup 98,
Fighter's History,
Final Fantasy IV (1991),
Final Fantasy Mystic Quest (1992),
FINAL FANTASY V,
FINAL FANTASY VI,
Final Fight,
Final Fight 2,
Final Fight 3,
Final Fight Guy (SNES),
Fire Emblem: Genealogy of the Holy War,
Fire Emblem: Mystery of the Emblem,
Fire Emblem: Thracia 776,
Firestriker,
First Samurai,
Flashback: The Quest for Identity,
Football Fury,
Foreman For Real,
Frank Thomas Big Hurt Baseball,
Frantic Flea,
Frogger (1981),
Front Mission: Gun Hazard,
Front Mission: The First (1995),
Full Throttle: All-American Racing,
Fun 'n Games (1994),
F-Zero,
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,
Ganbare Goemon 3: Shishijyuurokubei no Karakuri Manji Katame,
Ganbare Goemon Kirakira Dōchū: Boku ga Dancer ni Natta Wake,
Ganbare Goemon! Karakuri Douchuu,
Gemfire,
Genghis Khan II: Clan of the Gray Wolf (1992),
George Foreman's KO Boxing,
Ghoul Patrol (1995),
Go Go Ackman,
Go Go Ackman 2,
Go Go Ackman 3,
Goal! Two,
Gods,
Gokinjo Boukentai,
Gokujou Parodius,
Gon,
Goof Troop,
GP-1,
GP-1: Part II,
Gradius III (1989),
GunForce,
Gussun Oyoyo,
Hagane: The Final Conflict,
Hal's Hole in One Golf,
HammerLock Wrestling,
Hanna Barbera's Turbo Toons,
HardBall III,
Harley's Humongous Adventure,
Harvest Moon,
Hebereke's Popoitto,
Hebereke's Popoon,
Hit the Ice,
Home Alone,
Home Alone 2,
Home Improvement: Power Tool Pursuit!,
Hong Kong 97,
Hook (1992),
Hurricanes,
Hyper Iria,
Hyper Metroid,
HyperZone,
Illusion of Gaia,
Imperium,
Inazuma Serve Da!! Super Beach Volley,
Incantation,
Indiana Jones' Greatest Adventures (1994),
Inindo: Way of the Ninja,
Inspector Gadget,
International Superstar Soccer,
International Superstar Soccer Deluxe,
International Tennis Tour,
Iron Commando,
Izzy's Quest for the Olympic Rings,
J.R.R. Tolkien's The Lord of the Rings, Vol. I
James Bond jr.,
James Pond 2: Codename Robocod,
James Pond 3,
Jammit,
Jelly Boy,
Jikkyou Oshaberi Parodius,
Jim Power : The Lost Dimension,
Jimmy Connors Pro Tennis Tour,
Joe & Mac,
Joe & Mac 2 (1994),
Joe & Mac 2: Lost in the Tropics,
Joe & Mac Caveman Ninja,
John Madden Football,
John Madden Football '92,
John Madden Football '93,
JoJo's Bizarre Adventure (SNES),
Judge Dredd,
Jungle Strike,
Jurassic Park,
Jurassic Park (1993),
Jurassic Park 2: The Chaos Continues,
Justice League Task Force,
Jyutei Senki,
Kamen Rider SD: Shutsugeki!! Rider Machine,
Kawasaki Caribbean Challenge,
Kawasaki Superbike Challenge,
Ken Griffey Jr. Presents Major League Baseball,
Ken Griffey Jr.'s Winning Run,
Kendo Rage,
Kessen! Dokapon Oukoku IV: Densetsu no Yuusha-tachi,
Kevin Keegan's Player Manager,
Kick Off,
Kid Klown in Crazy Chase,
Kidou Butouden G-Gundam,
Killer Instinct (1994),
King Arthur & the Knights of Justice,
King Arthur's World,
KING OF THE MONSTERS,
King of the Monsters 2: The Next Thing,
Kirby Super Star (1996),
Kirby's Avalanche (1995),
Kirby's Dream Course (1994),
Kirby's Dream Land 3 (1997),
Kirby's Star Stacker (1997),
Kishin Douji Zenki: Battle Raiden,
Kishin Douji Zenki: Denei Raibu,
Kishin Douji Zenki: Tenchi Meidou,
Knights of the Round,
Krusty's Fun House,
Kyle Petty's No Fear Racing,
Kyuuyaku Megami Tensei,
Lady Stalker: Kako kara no Chousen,
Lagoon,
Lamborghini American Challenge,
Laplace no Ma,
Last Action Hero,
Last Bible III,
Legend,
Legend of the Armored Dragon Villgust: The Vanished Girl,
Lemmings,
Lemmings 2: The Tribes,
Lennus 2,
Lester the Unlikely,
Lethal Enforcers,
Lethal Weapon,
Liberty or Death,
Live A Live,
Looney Tunes B-Ball,
Lord Monarch,
Lufia & the Fortress of Doom,
Lufia II: Rise of the Sinistrals,
Lupin III: Densetsu no Hihou o Oe!,
Madden NFL '94,
Madden NFL '95,
Madden NFL '96,
Madden NFL 97,
Madden NFL 98,
Madou Monogatari: Big Kindergarten Kids,
Magic Boy,
Magic Sword,
Magical * Taruruuto-kun: Magic Adventure,
Magical Drop,
Magical Drop II,
Magical pop'n,
Mahou Kishi Rayearth (SNES),
Majin Tensei II: Spiral Nemesis,
Major Title,
Maka Maka,
Manchester United Championship Soccer,
Mario & Wario,
Mario Is Missing!,
Mario Paint,
Mario's Super Picross,
Mario's Time Machine,
Mark Davis' The Fishing Master,
Marko's Magic Football,
Marvel Super Heroes In War of the Gems,
Marvel Super Heroes: War of the Gems,
Marvelous: Another Treasure Island,
Mary Shelley's Frankenstein,
Math Blaster Episode I: In Search of Spot,
Maui Mallard in Cold Shadow,
Mecarobot Golf,
MechWarrior,
Mega Lo Mania,
Mega Man & Bass (1998),
Mega Man 7 (1995),
Mega Man Soccer,
Mega Man X (1993),
Mega Man X2,
Mega Man X3 (1995),
Megaman X,
Melfand Stories,
Metal Combat: Falcon's Revenge,
Metal Marines,
Metal Max 2,
Metal Morph,
Metal Slader Glory,
Metal Warriors,
Michael Andretti's Indy Car Challenge,
Michael Jordan: Chaos in the Windy City,
Mickey Tokyo Disneyland,
Mickey's Ultimate Challenge,
Mickey's Wild Adventure,
Micro Machines (Old),
Micro Machines 2: Turbo Tournament,
MIDI Maze,
Might and Magic II: Gates to Another World,
Might and Magic III: Isles of Terra,
Mighty Morphin Power Rangers,
Mighty Morphin Power Rangers: The Fighting Edition,
Mighty Morphin Power Rangers: The Movie,
Miracle Girls,
Miracle Piano Teaching System,
MLBPA Baseball,
Mohawk & Headphone Jack,
Mortal Kombat,
Mortal Kombat 2,
Mortal Kombat 3,
Mountain Bike Rally,
Mr. Do!,
Mr. Nutz,
Ms. Pac-Man,
Musya,
Mutant Fighter,
Mystery Dungeon: Shiren the Wanderer (1995),
Mystic Ark,
Natsume Championship Wrestling,
NBA All-Star Challenge,
NBA Give 'n Go,
NBA Hangtime,
NBA Jam (1994),
NBA Jam Tournament Edition,
NBA Live 95,
NBA Live 96,
NBA Live 97,
NBA Live 98,
NBA Showdown,
NCAA Basketball,
NCAA Football,
Neugier: Umi to Kaze no Kodō,
NFL Football (1979),
NFL Quarterback Club,
NFL Quarterback Club 96,
NHL '94,
NHL 95,
NHL 96,
NHL 97,
NHL 98,
NHL Stanley Cup,
NHLPA Hockey '93,
Nigel Mansell's World Championship Racing,
Nightmare Busters,
Ninja Gaiden Trilogy,
Ninja Gaiden Triology,
Ninja Warriors (1994),
Nobunaga's Ambition (2009),
Nolan Ryan's Baseball,
Norse by Norse West: The Return of the Lost Vikings,
Nosferatu,
Obitus,
Ogre Battle: The March of the Black Queen,
Olympic Summer Games,
Onigami Korinden Oni,
Operation Europe: Path to Victory,
Operation Logic Bomb,
Operation Thunderbolt,
Oscar,
Otoboke Ninja Colosseum,
Out to Lunch,
Outlander,
P.T.O.,
P.T.O. II,
Pac-Attack (1993),
Pac-In-Time,
Packy and Marlon,
Pac-Man 2: The New Adventures (1994),
Paladin's Quest,
Panel de Pon,
Paperboy 2,
Parodius! From Myth to Laughter,
Phalanx,
Phantom 2040,
Picachu - Pocket Monsters (Bootleg),
Picross NP Vol.1,
Picross NP Vol.2,
Picross NP Vol.3,
Picross NP Vol.4,
Picross NP Vol.5,
Picross NP Vol.6,
Picross NP Vol.7,
Picross NP Vol.8,
Pieces,
Pilotwings (1990),
Pinball Dreams (1992),
Pinball Fantasies (1992),
Pink Goes to Hollywood,
Pinocchio (1996),
Pirates of Dark Water,
Pitfall: The Mayan Adventure,
Pit-Fighter,
Plok,
Pocky & Rocky,
Pocky & Rocky 2,
Pokonyan! Henpokorin Adventure,
Popeye: Ijiwaru Majo Seahag no Maki,
Popful Mail,
Pop'n TwinBee (1993),
Pop'n TwinBee: Rainbow Bell Adventures,
Populous,
Populous 2: Trials of the Olympian Gods,
Populous II: Trials of the Olympian Gods,
Porky Pig's Haunted Holiday,
Power Athlete,
Power Drive,
Power Instinct,
Power Piggs of the Dark Age,
Power Rangers Zeo: Battle Racers,
Powermonger (1990),
Prehistorik 2,
Prehistorik Man (1995),
Primal Rage,
Prince of Persia (1989),
Prince of Persia 2: The Shadow and the Flame,
Princess Minerva,
Prisoners of the Sun,
Pro Quarterback,
Pro Sport Hockey,
Psycho Dream,
Pushover,
Putty,
Putty Squad (1994),
Puyo Puyo Tsu,
Puzzle Bobble (1994),
Race Drivin',
Radical Psycho Machine Racing,
Radical Rex,
Raiden (1991),
Rampart (1990),
Ranma ½: Chougi Ranbu Hen,
Ranma ½: Hard Battle,
Rap Jam: Volume One,
Realm,
Relief Pitcher,
Rendering Ranger R2,
Revolution X (1994),
Rex Ronan: Experimental Surgeon,
Riddick Bowe Boxing,
Rise of the Phoenix,
Rise of the Robots,
Rival Turf! (1992),
River City Ransom 2,
Road Riot 4WD,
Road Runner's Death Valley Rally,
Robocop 3,
RoboCop Versus The Terminator,
Robotrek,
Rock n' Roll Racing,
Rocko's Modern Life: Spunky's Dangerous Day,
Rocky Rodent,
Roger Clemens' MVP Baseball,
Romance of the Three Kingdoms,
Romance of the Three Kingdoms II,
Romance of the Three Kingdoms III: Dragon of Destiny,
Romance of the Three Kingdoms IV: Wall of Fire,
Romancing SaGa,
Romancing SaGa 2,
Romancing SaGa 3,
R-Type III: The Third Lightning,
Run Saber,
Samurai Shodown,
Saturday Night Slam Masters,
Scooby-Doo Mystery,
SD The Great Battle,
SD The Great Battle II: Last Fighter Twin,
seaQuest DSV,
Secret of Evermore,
Secret of Mana (1993),
Secret of the Stars,
Seifuku Densetsu: Pretty Fighter,
SENGOKU I,
Sensible Soccer,
Shadowrun (1993),
Shanghai II: Dragon's Eye,
Shaq Fu,
Shien's Revenge,
Shin Kidou Senki Gundam Wing: Endless Duel,
Shin Megami Tensei,
Shin Megami Tensei If...,
Shin Megami Tensei II,
Shin Nekketsu Kouha: Kunio Tachi no Banka,
Shinseiki Odysselya,
Shinseiki Odysselya II,
Shockman Zero,
Sid Meier's Civilization,
Side Pocket (1986),
Sim City,
SimAnt,
SimCity,
SimCity 2000,
SimEarth,
Sink or Swim,
Sküljagger: Revolt of the Westicans,
Skyblazer,
Sleepwalker,
Smart Ball,
Smash Tennis,
Smash TV,
Snow White: Happily Ever After,
Soccer Kid (1993),
Socks the Cat Rocks the Hill,
Sonic Blast Man,
Sonic Blast Man II,
Sonic the Hedgehog 4 (Bootleg),
Soreyuke Ebisumaru! Karakuri Meiro: Kieta Goemon no Nazo!!,
SOS (1993),
Soul Blazer,
Space Ace (1984),
Space Football: One on One,
Space Invaders (1978),
Spanky's Quest,
Sparkster,
Spectre (1991),
Speed Racer in My Most Dangerous Adventures,
Speedy Gonzales: Los Gatos Bandidos,
Spider-Man (1995),
Spider-Man and the X-Men in Arcade's Revenge,
Spider-Man and Venom: Maximum Carnage,
Spindizzy Worlds,
Spirou,
Sports Illustrated: Championship Football & Baseball,
Star Fox,
Star Ocean,
Star Trek: Deep Space Nine – Crossroads of Time,
Star Trek: Starfleet Academy - Starship Bridge Simulator,
Starfox 2,
Stargate,
Stargate (1995),
Stargate (SNES),
Steel Talons,
Sterling Sharpe: End 2 End,
Stone Protectors,
Street Fighter Alpha 2,
Street Fighter II Turbo: Hyper Fighting,
Street Fighter II: The World Warrior (1991),
Street Hockey '95,
Street Racer,
Strike Gunner S.T.G.,
Striker,
Stunt Race FX,
Sugoi Hebereke,
Sunset Riders,
Super 3D Noah's Ark,
Super 3-D Noah's Ark,
Super Adventure Island (1992),
Super Adventure Island II (1995),
Super Air Diver,
Super Air Zonk,
Super Aleste,
Super Back To The Future 2,
Super Baseball 2020,
Super Baseball Simulator 1.000,
Super Bases Loaded,
Super Bases Loaded 2,
Super Bases Loaded 3,
Super Batter Up,
Super Battleship,
Super Battletank,
Super Battletank 2,
Super Bomberman,
Super Bomberman - Panic Bomber W,
Super Bomberman 2,
Super Bomberman 3,
Super Bomberman 4,
Super Bomberman 5,
Super Bonk,
Super Bonk 2,
Super Bowling,
Super Buster Bros,
Super Caesars Palace,
Super Castlevania IV,
Super Chinese World 2,
Super Chinese World 3,
Super Conflict,
Super Double Dragon,
Super Famicom Wars,
Super Ghouls 'n Ghosts (1991),
Super Goal! 2,
Super Godzilla,
Super Gussun Oyoyo 2,
Super High Impact,
Super Ice Hockey,
Super International Cricket,
Super Mario /v/orld,
Super Mario /v/orld 2: Moot Point,
Super Mario All-Stars (1993),
Super Mario All-Stars and Super Mario World,
Super Mario Bros.,
Super Mario Bros. 2,
Super Mario Bros. 3,
Super Mario Kart,
Super Mario RPG: Legend of the Seven Stars,
Super Mario World,
Super Mario World 2: Yoshi's Island,
Super Metroid,
Super Metroid: Redesign + Axeil Edition,
Super Momotarou Dentetsu,
Super Momotarou Dentetsu III,
Super Morph,
Super Ninja Boy,
Super Ninja-Kun,
Super Off Road,
Super Pinball: Behind the Mask,
Super Play Action Football,
Super Punch-Out!!,
Super R.B.I. Baseball,
Super R-Type (1991),
Super Scope 6,
Super Slam Dunk,
Super Slap Shot,
Super Soccer,
Super Soccer (1992),
Super Solitaire,
Super Star Wars,
Super Star Wars: Return of the Jedi,
Super Star Wars: The Empire Strikes Back,
Super Street Fighter II: The New Challengers,
Super Strike Eagle,
Super SWIV,
Super Tennis,
Super Troll Islands,
Super Turrican (1992),
Super Turrican 2,
Super Widget,
Sutte Hakkun,
Suzuka 8 Hours,
Sydney Hunter and the Caverns of Death,
Sydney Hunter and the Curse of the Mayan,
Syndicate,
Syndicate (1993),
Syvalion,
Tactics Ogre: Let Us Cling Together,
Tales of Phantasia,
TaleSpin,
Tamori's Picross,
Tarzan: Lord of the Jungle (SNES),
Taz-Mania (SNES),
Tecmo Super Baseball,
Tecmo Super Bowl,
Tecmo Super Bowl II: Special Edition,
Tecmo Super Bowl III: Final Edition,
Tecmo Super NBA Basketball,
Teenage Mutant Ninja Turtles IV: Turtles in Time,
Teenage Mutant Ninja Turtles: Tournament Fighters,
Terminator 2: Judgment Day,
Terranigma,
Tetris & Dr. Mario,
Tetris (1984),
Tetris 2,
Tetris Attack,
The 7th Saga,
The Adventure of Hourai High School,
The Adventures of Batman and Robin,
The Adventures of Dr. Franken,
The Adventures of Rocky and Bullwinkle and Friends,
The Amazing Spider Man: Lethal Foes,
The Aquatic Games,
The Blues Brothers,
The Brainies,
The Chaos Engine,
The Combatribes (1990),
The Death and Return of Superman,
The Duel: Test Drive II,
The Firemen,
The Flintstones: The Movie,
The Flintstones: The Treasure of Sierra Madrock,
The Glory of Heracles III: Silence of the Gods,
The Glory of Heracles IV: Gift from the Gods,
The Great Circus Mystery Starring Mickey & Minnie,
The Great Waldo Search,
The Humans,
The Hunt for Red October,
The Ignition Factor (1994),
The Incredible Crash Dummies,
The Incredible Hulk (1994),
The INCREDIBLE MAZE OF DOOM,
The Itchy & Scratchy Game,
The Jetsons: Invasion of the Planet Pirates,
The King of Dragons,
The Lawnmower Man,
The Legend of The Mystical Ninja,
The Legend of Zelda: A Link to the Past,
The Legend of Zelda: Parallel Worlds,
The Lost Vikings,
The Lost Vikings 2,
The Magical Quest (Starring Mickey Mouse),
The Mask,
The Ninja Warriors Again,
The Pagemaster,
The Peace Keepers,
The Ren & Stimpy Show: Buckaroo$!,
The Ren & Stimpy Show: Fire Dogs,
The Ren & Stimpy Show: Time Warp,
The Ren & Stimpy Show: Time Warp (1994),
The Ren & Stimpy Show: Veediots!,
The Simpsons: Bart's Nightmare,
The Smurfs (1994),
The Smurfs Travel the World,
The Tick,
The Twisted Tales of Spike McFang,
The Wizard of Oz,
Theme Park,
Thomas the Tank Engine & Friends,
Thunder Spirits,
Time Slip,
Time Trax,
Timecop,
Timon & Pumbaa's Jungle Games,
Timon & Pumbaa's Jungle Games (1998),
Tin Star (1994),
Tintin in Tibet,
Tintin: Prisoners of the Sun,
Tiny Toon Adventures: Buster Busts Loose!,
Tiny Toon Adventures: Wacky Sports Challenge,
Tiny Toon Adventures: Wacky Sports Challenge (1994),
TKO Super Championship Boxing,
Todd McFarlane's Spawn: The Video Game,
Tokimeki Memorial: Forever with You,
Tom & Jerry,
Tommy Moe's Winter Extreme: Skiing & Snowboarding,
Tony Meola's Sidekicks Soccer,
Top Gear,
Top Gear 2,
Top Gear 3000,
Torneko's Great Adventure: Mystery Dungeon,
Total Carnage (1992),
Toy Story,
Toy Story (1995),
Toy Story (SNES),
Toys,
Traverse: Starlight & Prairie,
Treasure Conflix,
Treasure Hunter G,
Treasure of the Rudras,
Trials of Mana,
Troddlers,
Troy Aikman NFL Football,
True Golf Classics: Pebble Beach Golf Links,
True Golf Classics: Waialae Country Club,
True Golf Classics: Wicked 18,
True Lies,
Tuff E Nuff,
Turn and Burn: No-Fly Zone,
U.N. Squadron,
Uchuu Race: Astro Go! Go!,
Ultima (Old),
Ultima VI: The False Prophet,
Ultima VII: The Black Gate,
Ultima: Runes of Virtue II,
Ultimate Fighter,
Ultimate Mortal Kombat 3,
Ultraman: Towards the Future,
Umihara Kawase,
Uncharted Waters / 大航海時代,
Uncharted Waters 2: New Horizons,
Uncharted Waters: New Horizons,
Undercover Cops,
Uniracers,
Urban Strike,
Ushio to Tora,
Utopia: The Creation of a Nation,
Valis IV,
Vegas Stakes (1993),
Venom/Spider-Man: Separation Anxiety,
Virtual Bart,
Virtual Soccer,
VLDC 11,
Vortex (1994),
War 2410,
War 3010: The Revolution,
Wario's Woods (1994),
Warlock,
WarpSpeed,
Waterworld (1995),
Wayne Gretzky and the NHLPA All-Stars,
Wayne's World,
WCW SuperBrawl Wrestling,
Weaponlord,
Wedding Peach,
Wheel of Fortune (Old),
Where in Time Is Carmen Sandiego?,
Whirlo,
Whizz (Old),
Wild C.A.T.s,
Wild Guns (1994),
WildSnake,
Williams Arcade's Greatest Hits,
Wing Commander,
Wings 2: Aces High,
Winning Post,
Winter Olympics,
Wizap! The King of Darkness,
Wizardry Gaiden IV: Throb of the Demon's Heart,
Wizardry V: Heart of the Maelstrom,
Wizardry VI: Bane of the Cosmic Forge,
Wizardry: Proving Grounds of the Mad Overlord,
Wolfchild,
Wolfenstein 3D,
Wolverine: Adamantium Rage,
Wonder Project J: Machine Boy Pino,
Wordtris,
World Cup USA '94,
World Heroes (1993),
World Heroes 2 (1993),
World League Soccer,
World Masters Golf,
World Soccer '94: Road to Glory,
Worms,
WWF Raw,
WWF Royal Rumble,
WWF Super WrestleMania,
WWF WrestleMania: The Arcade Game,
Xardion,
X-Kaliber 2097,
X-Men: Mutant Apocalypse,
X-Zone,
Yokozuna Monogatari,
Yoshi's Cookie,
Yoshi's Safari,
Youkai Buster: Ruka no Daibouken,
Young Merlin,
Ys III: Wanderers from Ys,
Ys IV: The Dawn of Ys,
Ys V: Lost Kefin, Kingdom of Sand
Yu Yu Hakusho,
Yuu Yuu Hakusho 2: Kakutou no Sho,
Yuu Yuu Hakusho Final,
Yuu Yuu Hakusho Tokubetsu Hen,
Zero the Kamikaze Squirrel,
Zombies Ate My Neighbors (1993),
Zool,
